"eDNA_score","eDNA_capture","Month"
12,"F","April"
1,"EP","April"
12,"F","May"
0,"EP","May"
0,"F","June"
1,"EP","June"
12,"F","July"
0,"EP","July"
10,"F","August"
0,"EP","August"
0,"F","September"
0,"EP","September"
0,"F","October"
0,"EP","October"
11,"F","April"
1,"EP","April"
12,"F","May"
0,"EP","May"
12,"F","June"
0,"EP","June"
12,"F","July"
0,"EP","July"
4,"F","August"
0,"EP","August"
0,"F","September"
0,"EP","September"
0,"F","October"
0,"EP","October"
12,"F","April"
0,"EP","April"
12,"F","May"
5,"EP","May"
12,"F","June"
0,"EP","June"
12,"F","July"
1,"EP","July"
10,"F","August"
0,"EP","August"
0,"F","September"
0,"EP","September"
0,"F","October"
0,"EP","October"
1,"F","April"
0,"EP","April"
7,"F","May"
3,"EP","May"
0,"F","June"
0,"EP","June"
12,"F","July"
7,"EP","July"
12,"F","August"
0,"EP","August"
1,"F","September"
0,"EP","September"
7,"F","April"
0,"EP","April"
1,"F","May"
10,"EP","May"
12,"F","June"
4,"EP","June"
12,"F","July"
12,"EP","July"
10,"F","April"
9,"EP","April"
12,"F","May"
3,"EP","May"
12,"F","June"
1,"EP","June"
0,"F","July"
4,"EP","July"
1,"F","August"
1,"EP","August"
1,"F","September"
1,"EP","September"
0,"F","October"
0,"EP","October"
12,"F","April"
2,"EP","April"
12,"F","May"
12,"EP","May"
1,"F","June"
12,"EP","June"
11,"F","July"
12,"EP","July"
5,"F","August"
12,"EP","August"
0,"F","September"
5,"EP","September"
0,"F","October"
0,"EP","October"
12,"F","April"
6,"EP","April"
2,"F","May"
10,"EP","May"
12,"F","June"
12,"EP","June"
12,"F","July"
12,"EP","July"
12,"F","August"
12,"EP","August"
12,"F","September"
1,"EP","September"
0,"F","October"
0,"EP","October"
12,"F","April"
12,"EP","April"
7,"F","May"
12,"EP","May"
12,"F","June"
6,"EP","June"
11,"F","July"
11,"EP","July"
5,"F","August"
12,"EP","August"
0,"F","September"
2,"EP","September"
0,"F","October"
0,"EP","October"
8,"F","April"
2,"EP","April"
12,"F","May"
12,"EP","May"
2,"F","June"
12,"EP","June"
0,"F","July"
11,"EP","July"
11,"F","August"
11,"EP","August"
3,"F","September"
1,"EP","September"
0,"F","October"
0,"EP","October"
6,"F","April"
0,"EP","April"
12,"F","May"
5,"EP","May"
11,"F","June"
0,"EP","June"
12,"F","July"
4,"EP","July"
12,"F","August"
3,"EP","August"
4,"F","September"
10,"EP","September"
0,"F","October"
0,"EP","October"
0,"F","April"
12,"EP","April"
12,"F","May"
12,"EP","May"
11,"F","June"
12,"EP","June"
0,"F","July"
12,"EP","July"
0,"F","August"
7,"EP","August"
0,"F","September"
0,"EP","September"
0,"F","October"
0,"EP","October"
12,"F","April"
0,"EP","April"
1,"F","May"
0,"EP","May"
9,"F","April"
2,"EP","April"
12,"F","April"
1,"EP","April"
7,"F","May"
1,"EP","May"
12,"F","June"
0,"EP","June"
12,"F","July"
1,"EP","July"
1,"F","August"
3,"EP","August"
5,"F","September"
0,"EP","September"
1,"F","October"
1,"EP","October"
12,"F","April"
3,"EP","April"
12,"F","May"
0,"EP","May"
12,"F","June"
12,"EP","June"
12,"F","April"
1,"EP","April"
12,"F","May"
8,"EP","May"
12,"F","June"
11,"EP","June"
2,"F","July"
12,"EP","July"
2,"F","August"
4,"EP","August"
0,"F","September"
0,"EP","September"
9,"F","April"
0,"EP","April"
12,"F","May"
10,"EP","May"
12,"F","July"
12,"EP","July"
12,"F","August"
12,"EP","August"
6,"F","September"
3,"EP","September"
2,"F","October"
0,"EP","October"
